id	normCarbs	normFat	normProtein	cluster
58	0.0	0.002582496413199426	0.9974175035868006	1
55	0.0	0.12442396313364054	0.8755760368663594	1
48	0.0	0.4563894523326572	0.5436105476673428	1
54	0.0	0.40178571428571425	0.5982142857142857	1
79	0.027586206896551724	0.27487684729064044	0.6975369458128079	1
77	0.07192807192807192	0.33266733266733267	0.5954045954045953	1
83	0.03429796355841372	0.12540192926045016	0.8403001071811361	1
82	0.0	0.22111010009099183	0.7788898999090081	1
80	0.014773776546629733	0.3573407202216066	0.6278855032317636	1
84	0.013407821229050279	0.15083798882681565	0.8357541899441341	1
1448	0.007380073800738008	0.3321033210332104	0.6605166051660517	1
67	0.0	0.4119922630560928	0.5880077369439072	1
69	0.0	0.23809523809523808	0.7619047619047619	1
1449	0.014184397163120567	0.2553191489361702	0.7304964539007092	1
70	0.0	0.27395715896279593	0.7260428410372041	1
74	0.0	0.20769230769230768	0.7923076923076924	1
1450	0.0100418410041841	0.26359832635983266	0.7263598326359832	1
1451	0.06355140186915888	0.1514018691588785	0.7850467289719626	1
941	0.0	0.3798925556408288	0.6201074443591711	1
19	0.0752823086574655	0.10163111668757843	0.8230865746549562	1
7	0.0	0.3853904282115869	0.6146095717884131	1
33	0.36177474402730375	0.2150170648464164	0.42320819112627994	1
924	0.0	0.17857142857142858	0.8214285714285714	1
923	0.0	0.1794871794871795	0.8205128205128205	1
922	0.0	0.2795031055900621	0.7204968944099379	1
921	0.0	0.32197614991482115	0.6780238500851788	1
928	0.0	0.26627218934911245	0.7337278106508875	1
927	0.0	0.16147308781869688	0.8385269121813032	1
925	0.0	0.3712062256809338	0.6287937743190661	1
931	0.023501762632197415	0.07403055229142186	0.9024676850763808	1
933	0.0	0.4788540245566166	0.5211459754433834	1
932	0.0	0.23725834797891038	0.7627416520210897	1
934	0.0	0.06419400855920114	0.9358059914407989	1
938	0.0	0.33582089552238803	0.664179104477612	1
248	0.0	0.4362657091561939	0.563734290843806	1
249	0.0	0.5073720728534259	0.49262792714657416	1
263	0.24123422159887797	0.06311360448807854	0.6956521739130436	1
261	0.21472392638036808	0.05521472392638037	0.7300613496932515	1
260	0.058027079303675046	0.4700193423597679	0.471953578336557	1
255	0.010801080108010801	0.44554455445544555	0.5436543654365437	1
268	0.0	0.1658986175115207	0.8341013824884792	1
776	0.008802816901408451	0.4911971830985916	0.5	1
99	0.0	0.1111111111111111	0.8888888888888888	1
286	0.0	0.23478260869565218	0.7652173913043478	1
97	0.0	0.2303317535545024	0.7696682464454977	1
298	0.010704727921498663	0.29705619982158793	0.6922390722569135	1
312	0.0	0.06733167082294264	0.9326683291770573	1
316	0.05029337803855826	0.2187761944677284	0.7309304274937134	1
317	0.11278952668680765	0.3353474320241692	0.5518630412890232	1
318	0.0	0.08166969147005444	0.9183303085299456	1
